SnapShotId,CommentType,CourseId,UserId,Skip,Size,SkipThread,SizeThread
47835,Course,5722,61113,1,6,0,8
51744,Course,6113,93272,0,5,0,9
99325,Course,10871,97573,3,7,0,10
3348,Course,1273,92938,0,9,0,7
105989,Course,11537,88934,0,3,1,3
27412,Course,3679,56306,2,3,0,4
48481,Course,5786,60390,3,7,0,4
89682,Course,9906,87834,2,7,0,6
83646,Course,9303,77285,2,9,0,5
91709,Course,10109,86170,1,3,0,3
10135,Course,1952,87031,0,8,0,7
78828,Course,8821,80245,2,4,0,9
82431,Course,9181,67554,3,6,0,10
7335,Course,1671,78146,3,8,0,8
7003,Course,1638,91442,3,6,1,6
80666,Course,9005,57897,1,5,0,2
101124,Course,11051,95045,0,6,0,5
72312,Course,8169,97899,1,2,0,9
35652,Course,4503,86746,1,7,0,6
78722,Course,8810,59411,2,7,0,9
32209,Course,4159,97703,0,10,0,7
19369,Course,2875,57502,3,5,0,10
66449,Course,7583,90302,0,3,0,2
30764,Course,4015,69498,2,9,0,10
91454,Course,10084,56628,1,6,0,8
78357,Course,8774,92600,0,9,0,8
55688,Course,6507,71841,1,3,0,10
63530,Course,7291,93080,3,5,0,7
55472,Course,6485,84335,3,3,0,10
30419,Course,3980,53629,0,4,0,3
15516,Course,2490,86036,2,10,0,8
28144,Course,3753,64990,1,9,0,7
71758,Course,8114,65038,2,7,0,7
41452,Course,5083,79064,2,4,0,2
71593,Course,8097,97537,0,4,0,5
42986,Course,5237,55650,2,4,0,5
69687,Course,7907,76306,1,7,0,10
106030,Course,11541,72224,1,4,0,6
74197,Course,8358,63590,3,6,0,7
110012,Course,11939,67740,0,2,0,9
90218,Course,9960,81412,2,7,0,5
94932,Course,10431,65203,1,6,0,9
57173,Course,6655,78737,1,2,0,2
72286,Course,8167,96593,3,2,0,6
78853,Course,8823,80128,1,5,0,8
46254,Course,5564,71904,1,5,0,5
1693,Course,1107,68007,2,7,0,3
72102,Course,8148,73345,0,7,0,8
41325,Course,5071,51791,1,3,0,6
39611,Course,4899,74079,1,2,0,8
106813,Course,11619,82403,2,4,0,10
58865,Course,6825,63959,3,8,0,8
69168,Course,7855,53731,3,7,0,9
84270,Course,9365,91349,0,2,0,6
22874,Course,3226,67507,3,7,0,9
96487,Course,10587,95156,0,3,0,5
16595,Course,2598,51049,1,6,0,10
108704,Course,11809,77769,3,10,0,8
38089,Course,4747,52439,2,6,0,2
57671,Course,6705,89785,0,8,0,5
108826,Course,11821,75956,3,3,0,8
